thoi_gian_he_thong,start_time,open_price,high_price,low_price,close_price,volume_base,volume_quote,volume_usdt,instId,timeframe,action
2025-06-07T13:57:51.414890,2025-06-07T05:38:00,148.29,148.3,148.27,148.29,209.997,31139.170691,31139.170691,SOLUSDT,candle1m,snapshot
2025-06-07T13:57:51.497193,2025-06-05T20:20:00,154.01,154.15,153.74,153.76,1814.3718,279306.839389,279306.839389,SOLUSDT,candle5m,snapshot
2025-06-07T13:57:51.520060,2025-06-02T09:00:00,158.05,158.25,157.17,157.32,6631.2798,1045218.026674,1045218.026674,SOLUSDT,candle15m,snapshot
2025-06-07T13:57:51.540157,2025-05-17T18:00:00,167.53,168.11,166.73,167.59,17666.4292,2956353.541738,2956353.541738,SOLUSDT,candle1H,snapshot
2025-06-07T13:57:51.590836,2025-06-07T05:38:00,104304.01,104306.74,104304,104306.74,1.76793,184405.8514168,184405.8514168,BTCUSDT,candle1m,snapshot
2025-06-07T13:57:51.614793,2025-06-05T20:20:00,105679.71,105752.99,105627,105627.01,40.136314,4241911.42177429,4241911.42177429,BTCUSDT,candle5m,snapshot
2025-06-07T13:57:51.641170,2025-06-02T09:00:00,105402,105423.66,105227,105251.21,23.062591,2428214.78927106,2428214.78927106,BTCUSDT,candle15m,snapshot
2025-06-07T13:57:51.670393,2025-05-17T18:00:00,102894.66,103100,102791.67,103000,134.755162,13866482.48293316,13866482.48293316,BTCUSDT,candle1H,snapshot
2025-06-07T13:57:51.696126,2025-06-07T05:38:00,2480.91,2481.38,2480.9,2481.37,139.1423,345220.734395,345220.734395,ETHUSDT,candle1m,snapshot
2025-06-07T13:57:51.725902,2025-06-05T20:20:00,2628.4,2629.43,2622.5,2623.47,666.0886,1749262.011415,1749262.011415,ETHUSDT,candle5m,snapshot
2025-06-07T13:57:51.862349,2025-06-02T09:00:00,2526.44,2527.65,2516.31,2518.08,655.4905,1652747.476088,1652747.476088,ETHUSDT,candle15m,snapshot
2025-06-07T13:57:51.887757,2025-05-17T18:00:00,2486.22,2489.42,2475.17,2481.98,2426.1738,6022099.755953,6022099.755953,ETHUSDT,candle1H,snapshot
2025-06-07T13:57:51.889544,2025-06-07T13:45:00,104864.57,105231.07,104863.4,105228.32,93.38628,9819713.20096698,9819713.20096698,BTCUSDT,candle15m,update
2025-06-07T13:57:51.889544,2025-06-07T13:55:00,105137.91,105231.07,105137.9,105228.32,16.061233,1689811.85526735,1689811.85526735,BTCUSDT,candle5m,update
2025-06-07T13:57:51.889544,2025-06-07T13:57:00,105228.3,105228.33,105228.3,105228.32,4.548728,478654.97866254,478654.97866254,BTCUSDT,candle1m,update
2025-06-07T13:57:51.889544,2025-06-07T13:00:00,104860,105231.07,104780,105228.32,155.839,16366592.97643398,16366592.97643398,BTCUSDT,candle1H,update
2025-06-07T13:57:51.942867,2025-06-07T13:45:00,2489.25,2499.29,2487.98,2498.03,1909.7069,4764477.215963,4764477.215963,ETHUSDT,candle15m,update
2025-06-07T13:57:51.942867,2025-06-07T13:55:00,2493.41,2499.29,2493.4,2498.03,580.307,1448696.42945,1448696.42945,ETHUSDT,candle5m,update
2025-06-07T13:57:51.947973,2025-06-07T13:57:00,2497.59,2499.29,2497.59,2498.03,130.0326,324865.08965,324865.08965,ETHUSDT,candle1m,update
2025-06-07T13:57:51.947973,2025-06-07T13:00:00,2493.36,2499.29,2484.21,2498.03,4321.5118,10767300.001918,10767300.001918,ETHUSDT,candle1H,update
2025-06-07T13:57:52.583419,2025-06-07T13:45:00,104864.57,105231.07,104863.4,105228.32,93.44617,9826015.32505178,9826015.32505178,BTCUSDT,candle15m,update
2025-06-07T13:57:52.585769,2025-06-07T13:55:00,105137.91,105231.07,105137.9,105228.32,16.121123,1696113.97935215,1696113.97935215,BTCUSDT,candle5m,update
2025-06-07T13:57:52.586570,2025-06-07T13:57:00,105228.3,105228.33,105228.3,105228.32,4.608618,484957.10274734,484957.10274734,BTCUSDT,candle1m,update
2025-06-07T13:57:52.589739,2025-06-07T13:00:00,104860,105231.07,104780,105228.32,155.89889,16372895.10051878,16372895.10051878,BTCUSDT,candle1H,update
2025-06-07T13:57:53.037831,2025-06-07T13:45:00,2489.25,2499.29,2487.98,2498.02,1911.0361,4767797.594164,4767797.594164,ETHUSDT,candle15m,update
2025-06-07T13:57:53.041829,2025-06-07T13:55:00,2493.41,2499.29,2493.4,2498.02,581.6362,1452016.807651,1452016.807651,ETHUSDT,candle5m,update
2025-06-07T13:57:53.041829,2025-06-07T13:57:00,2497.59,2499.29,2497.59,2498.02,131.3618,328185.467851,328185.467851,ETHUSDT,candle1m,update
2025-06-07T13:57:53.041829,2025-06-07T13:00:00,2493.36,2499.29,2484.21,2498.02,4322.841,10770620.380119,10770620.380119,ETHUSDT,candle1H,update
2025-06-07T13:57:53.964415,2025-06-07T13:45:00,104864.57,105231.07,104863.4,105228.32,93.577286,9839812.44184283,9839812.44184283,BTCUSDT,candle15m,update
2025-06-07T13:57:53.964415,2025-06-07T13:55:00,105137.91,105231.07,105137.9,105228.32,16.252239,1709911.0961432,1709911.0961432,BTCUSDT,candle5m,update
2025-06-07T13:57:53.964415,2025-06-07T13:57:00,105228.3,105228.33,105228.3,105228.32,4.739734,498754.21953839,498754.21953839,BTCUSDT,candle1m,update
2025-06-07T13:57:53.964415,2025-06-07T13:00:00,104860,105231.07,104780,105228.32,156.030006,16386692.21730983,16386692.21730983,BTCUSDT,candle1H,update
2025-06-07T13:57:54.166600,2025-06-07T13:45:00,2489.25,2499.29,2487.98,2498.02,1913.0679,4772873.091255,4772873.091255,ETHUSDT,candle15m,update
2025-06-07T13:57:54.166600,2025-06-07T13:55:00,2493.41,2499.29,2493.4,2498.02,583.668,1457092.304742,1457092.304742,ETHUSDT,candle5m,update
2025-06-07T13:57:54.169389,2025-06-07T13:57:00,2497.59,2499.29,2497.59,2498.02,133.3936,333260.964942,333260.964942,ETHUSDT,candle1m,update
2025-06-07T13:57:54.169389,2025-06-07T13:00:00,2493.36,2499.29,2484.21,2498.02,4324.8728,10775695.87721,10775695.87721,ETHUSDT,candle1H,update
2025-06-07T13:57:55.395237,2025-06-07T13:45:00,2489.25,2499.29,2487.98,2498.02,1915.5483,4779069.199004,4779069.199004,ETHUSDT,candle15m,update
2025-06-07T13:57:55.396266,2025-06-07T13:55:00,2493.41,2499.29,2493.4,2498.02,586.1484,1463288.412491,1463288.412491,ETHUSDT,candle5m,update
2025-06-07T13:57:55.396266,2025-06-07T13:57:00,2497.59,2499.29,2497.59,2498.02,135.874,339457.072691,339457.072691,ETHUSDT,candle1m,update
2025-06-07T13:57:55.396266,2025-06-07T13:00:00,2493.36,2499.29,2484.21,2498.02,4327.3532,10781891.984959,10781891.984959,ETHUSDT,candle1H,update
2025-06-07T13:57:55.505380,2025-06-07T13:45:00,104864.57,105231.07,104863.4,105228.32,93.702836,9853023.85797827,9853023.85797827,BTCUSDT,candle15m,update
