thoi_gian,gia,gia_mua,gia_ban,khoi_luong_24h,high24h,low24h,instId,best_purchase_price,best_sale_price
2025-05-29T04:39:55.553200,171.231,171.249,171.25,,177.38,168.797,SOLUSDT,2142.6,271.5
2025-05-29T04:39:55.853180,2644.36,2644.35,2644.36,,2688.63,2608,ETHUSDT,533.62,39.83
2025-05-29T04:39:55.853180,107405.9,107405.9,107406,,109234.5,106745.9,BTCUSDT,39.2679,0.2887
2025-05-29T04:39:55.861450,171.249,171.249,171.25,,177.38,168.797,SOLUSDT,4067.2,0.6
2025-05-29T04:39:56.261465,2644.36,2644.35,2644.36,,2688.63,2608,ETHUSDT,533.62,39.83
2025-05-29T04:39:56.262531,107405.9,107405.9,107406,,109234.5,106745.9,BTCUSDT,39.2979,0.2887
2025-05-29T04:39:56.263541,171.249,171.249,171.25,,177.38,168.797,SOLUSDT,4008.9,0.6
2025-05-29T04:39:56.581524,107405.9,107405.9,107406,,109234.5,106745.9,BTCUSDT,39.2979,0.2887
2025-05-29T04:39:56.583987,2644.36,2644.35,2644.36,,2688.63,2608,ETHUSDT,533.62,39.83
2025-05-29T04:39:56.583987,171.249,171.249,171.25,,177.38,168.797,SOLUSDT,4008.9,0.6
2025-05-29T05:47:06.435793,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,26.0563,8.4041
2025-05-29T05:47:06.435793,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,101,64.15
2025-05-29T05:47:06.435793,170.434,170.434,170.435,,177.38,168.797,SOLUSDT,0.6,1080.1
2025-05-29T05:47:06.891231,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,141.3,2.02
2025-05-29T05:47:06.894182,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,26.0563,8.4041
2025-05-29T05:47:06.908858,170.434,170.43,170.431,,177.38,168.797,SOLUSDT,365.3,111.8
2025-05-29T05:47:08.014554,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,25.3811,7.7919
2025-05-29T05:47:08.023970,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,244.21,1.05
2025-05-29T05:47:08.027562,170.434,170.43,170.431,,177.38,168.797,SOLUSDT,617.4,973.9
2025-05-29T05:47:09.113071,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.2166,7.8303
2025-05-29T05:47:09.113071,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,241.75,29.85
2025-05-29T05:47:09.116765,170.43,170.433,170.434,,177.38,168.797,SOLUSDT,238.3,153.8
2025-05-29T05:47:09.552715,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,241.75,0.05
2025-05-29T05:47:09.553730,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.2166,7.8303
2025-05-29T05:47:09.553730,170.43,170.433,170.434,,177.38,168.797,SOLUSDT,275.3,1033.7
2025-05-29T05:47:09.876706,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,241.75,0.05
2025-05-29T05:47:09.877809,170.43,170.433,170.434,,177.38,168.797,SOLUSDT,275.3,1023.1
2025-05-29T05:47:09.878818,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.5516,7.8111
2025-05-29T05:47:10.179208,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,241.75,0.05
2025-05-29T05:47:10.180223,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.2166,7.8303
2025-05-29T05:47:10.182012,170.43,170.433,170.434,,177.38,168.797,SOLUSDT,275.3,1033.7
2025-05-29T05:47:10.605927,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,29.6503,1.8579
2025-05-29T05:47:10.605927,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,303.45,0.05
2025-05-29T05:47:10.605927,170.43,170.433,170.434,,177.38,168.797,SOLUSDT,222,879.9
2025-05-29T05:47:10.976564,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,393.54,0.05
2025-05-29T05:47:10.977577,170.43,170.434,170.441,,177.38,168.797,SOLUSDT,20,58.6
2025-05-29T05:47:10.979085,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,29.6503,5.821
2025-05-29T05:47:11.287853,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,25.9216,5.821
2025-05-29T05:47:11.290133,170.43,170.434,170.435,,177.38,168.797,SOLUSDT,242,88.9
2025-05-29T05:47:11.290133,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,293.56,0.05
2025-05-29T05:47:11.605043,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,32.0748,7.184
2025-05-29T05:47:11.605043,170.43,170.434,170.435,,177.38,168.797,SOLUSDT,222,979.4
2025-05-29T05:47:11.605043,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,322.45,0.05
2025-05-29T05:47:11.904871,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,368.45,0.04
2025-05-29T05:47:11.904871,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,32.2803,7.8324
2025-05-29T05:47:11.918144,170.43,170.434,170.435,,177.38,168.797,SOLUSDT,222,968.8
2025-05-29T05:47:12.764064,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,368.45,0.04
2025-05-29T05:47:12.768090,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.5516,7.8431
2025-05-29T05:47:12.769112,170.43,170.432,170.433,,177.38,168.797,SOLUSDT,0.6,166.5
2025-05-29T05:47:13.328657,107241.6,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,32.1885,7.8718
2025-05-29T05:47:13.328657,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,340.07,0.04
2025-05-29T05:47:13.328657,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,259.6,996.6
2025-05-29T05:47:13.645349,107241.6,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.4598,7.7919
2025-05-29T05:47:13.663120,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,275.9,12
2025-05-29T05:47:13.664111,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,368.45,0.04
2025-05-29T05:47:13.972910,107241.6,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.4598,7.7919
2025-05-29T05:47:13.973639,2641.2,2641.2,2641.21,,2688.63,2608,ETHUSDT,368.45,0.04
2025-05-29T05:47:13.973639,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,275.9,12
2025-05-29T05:47:14.268824,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,294.07,0.04
2025-05-29T05:47:14.273098,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,412.7,94
2025-05-29T05:47:14.273098,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,32.1884,1.6765
2025-05-29T05:47:14.570121,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,225.93,60.14
2025-05-29T05:47:14.574411,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,28.3863,7.745
2025-05-29T05:47:14.579805,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,373.6,974
2025-05-29T05:47:14.908822,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,32.115,7.8111
2025-05-29T05:47:14.924815,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,366.4,974
2025-05-29T05:47:14.931126,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,271.93,59.64
2025-05-29T05:47:15.280605,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,32.115,7.8111
2025-05-29T05:47:15.280605,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,271.93,59.64
2025-05-29T05:47:15.280605,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,366.4,974
2025-05-29T05:47:15.586019,107241.5,107241.5,107241.6,,109234.5,106745.9,BTCUSDT,29.6925,7.8708
2025-05-29T05:47:15.586019,2641.21,2641.2,2641.21,,2688.63,2608,ETHUSDT,274.43,3.16
2025-05-29T05:47:15.586019,170.43,170.43,170.431,,177.38,168.797,SOLUSDT,454.2,974
2025-05-29T05:56:13.817956,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,44.8,17.75
2025-05-29T05:56:13.820411,107388.8,107388.7,107388.8,,109234.5,106745.9,BTCUSDT,17.8901,5.2048
2025-05-29T05:56:13.820918,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1101.6,132.6
2025-05-29T05:56:14.106112,107388.8,107388.7,107388.8,,109234.5,106745.9,BTCUSDT,20.814,5.6558
2025-05-29T05:56:14.115114,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,44.8,17.75
2025-05-29T05:56:14.115642,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1089.4,132.6
2025-05-29T05:56:14.423340,107388.8,107388.7,107388.8,,109234.5,106745.9,BTCUSDT,20.814,5.6558
2025-05-29T05:56:14.424392,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,44.8,15.29
2025-05-29T05:56:14.424928,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1089.4,132.6
2025-05-29T05:56:14.737719,107388.9,107389,107389.1,,109234.5,106745.9,BTCUSDT,32.5257,0.0001
2025-05-29T05:56:14.739289,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,63.88,13.35
2025-05-29T05:56:14.741795,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1110.7,132.6
2025-05-29T05:56:15.041184,107388.9,107389,107389.1,,109234.5,106745.9,BTCUSDT,32.5257,0.0001
2025-05-29T05:56:15.041184,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,63.88,13.35
2025-05-29T05:56:15.041184,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1110.7,132.6
2025-05-29T05:56:15.347264,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,53.44,17.6
2025-05-29T05:56:15.347264,107389.1,107389,107389.1,,109234.5,106745.9,BTCUSDT,49.0616,0.0001
2025-05-29T05:56:15.347264,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1098.4,132.6
2025-05-29T05:56:15.696220,107389.6,107389.5,107389.6,,109234.5,106745.9,BTCUSDT,19.5419,0.6013
2025-05-29T05:56:15.696220,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,53.44,25.3
2025-05-29T05:56:15.696220,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1098.4,132.6
2025-05-29T05:56:16.311793,2648.86,2648.86,2648.87,,2688.63,2608,ETHUSDT,53.44,16.2
2025-05-29T05:56:16.311793,107389.6,107389.5,107389.6,,109234.5,106745.9,BTCUSDT,27.2261,1.5041
2025-05-29T05:56:16.311793,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1099,132.6
2025-05-29T05:56:16.602511,2648.86,2648.86,2648.87,,2688.63,2608,ETHUSDT,53.44,16.2
2025-05-29T05:56:16.602511,107389.6,107389.5,107389.6,,109234.5,106745.9,BTCUSDT,27.2261,1.5041
2025-05-29T05:56:16.615799,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1099,132.6
2025-05-29T05:56:16.919377,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,25.5707,0.8427
2025-05-29T05:56:16.919377,2648.87,2648.86,2648.87,,2688.63,2608,ETHUSDT,45.16,17.55
2025-05-29T05:56:16.919377,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,9.6,132.6
2025-05-29T05:56:17.319000,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.9682,4.0876
2025-05-29T05:56:17.319000,2648.52,2648.52,2648.53,,2688.63,2608,ETHUSDT,53.94,115.47
2025-05-29T05:56:17.328495,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,212.6,132.6
2025-05-29T05:56:17.655202,2648.52,2648.52,2648.53,,2688.63,2608,ETHUSDT,107.61,99.3
2025-05-29T05:56:17.655202,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,26.6994,1.103
2025-05-29T05:56:17.655202,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1090,132.6
2025-05-29T05:56:17.957693,2648.52,2648.52,2648.53,,2688.63,2608,ETHUSDT,142.85,89.85
2025-05-29T05:56:17.959858,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1118.5,132.6
2025-05-29T05:56:17.962768,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,26.6994,1.103
2025-05-29T05:56:18.253185,2648.53,2648.52,2648.53,,2688.63,2608,ETHUSDT,171.15,90.42
2025-05-29T05:56:18.253185,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.9758,4.0194
2025-05-29T05:56:18.253185,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,1090,132.6
2025-05-29T05:56:18.626012,2648.53,2648.52,2648.53,,2688.63,2608,ETHUSDT,171.15,90.42
2025-05-29T05:56:18.626012,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,26.6994,4.0194
2025-05-29T05:56:18.639841,170.866,170.866,170.867,,177.38,168.797,SOLUSDT,878,132.6
2025-05-29T05:56:19.755137,2648.53,2648.52,2648.53,,2688.63,2608,ETHUSDT,104.45,92.3
2025-05-29T05:56:19.755137,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.9758,5.5277
2025-05-29T05:56:19.770773,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,2943.3,10.8
2025-05-29T05:56:20.801758,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.4744,7.1686
2025-05-29T05:56:20.801758,2648.52,2648.52,2648.53,,2688.63,2608,ETHUSDT,104.45,119.7
2025-05-29T05:56:20.801758,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,2930.7,10.8
2025-05-29T05:56:21.400931,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.5211,5.4744
2025-05-29T05:56:21.400931,2648.52,2648.42,2648.43,,2688.63,2608,ETHUSDT,64.39,32.45
2025-05-29T05:56:21.400931,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,2938.5,16.8
2025-05-29T05:56:21.712948,2648.52,2648.42,2648.43,,2688.63,2608,ETHUSDT,64.39,32.45
2025-05-29T05:56:21.712948,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.5211,5.4744
2025-05-29T05:56:21.712948,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,2938.5,16.8
2025-05-29T05:56:22.021395,2648.52,2648.42,2648.43,,2688.63,2608,ETHUSDT,141.53,35.53
2025-05-29T05:56:22.021395,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.5005,6.0184
2025-05-29T05:56:22.021395,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,2930.7,10.8
2025-05-29T05:56:22.318624,2648.52,2648.42,2648.43,,2688.63,2608,ETHUSDT,141.53,35.53
2025-05-29T05:56:22.322939,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,22.5005,6.0184
2025-05-29T05:56:22.323492,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,2930.7,10.8
2025-05-29T05:56:22.624382,2648.24,2648.23,2648.24,,2688.63,2608,ETHUSDT,44.8,75.12
2025-05-29T05:56:22.624382,107389.8,107389.7,107389.8,,109234.5,106745.9,BTCUSDT,20.89,14.6026
2025-05-29T05:56:22.624382,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,877.4,10.8
2025-05-29T05:56:22.960862,2648.24,2648.23,2648.24,,2688.63,2608,ETHUSDT,142.81,141.38
2025-05-29T05:56:22.960862,170.86,170.86,170.861,,177.38,168.797,SOLUSDT,877.4,11.3
