thoi_gian,gia,gia_mua,gia_ban,khoi_luong_24h
2025-05-26T09:06:03.442481,109671.3,109671.3,109671.4,
2025-05-26T09:06:03.870228,109671.3,109671.3,109671.4,
2025-05-26T09:06:04.165781,109671.4,109671.3,109671.4,
2025-05-26T09:06:04.485290,109671.4,109671.3,109671.4,
2025-05-26T09:06:04.775586,109671.4,109671.1,109671.3,
2025-05-26T09:06:05.130601,109667.2,109667.2,109667.3,
2025-05-26T09:06:05.498333,109667.3,109667.2,109667.3,
2025-05-26T09:06:05.825746,109667.2,109667.2,109667.3,
2025-05-26T09:06:06.227718,109667.2,109667.2,109667.3,
2025-05-26T09:06:07.129027,109667.2,109667.2,109667.3,
2025-05-26T09:06:07.450085,109667.2,109667.2,109667.3,
2025-05-26T09:06:07.843543,109667.2,109663,109664.1,
2025-05-26T09:06:08.166342,109664,109660,109661.2,
2025-05-26T09:06:08.469619,109664,109660,109660.1,
2025-05-26T09:06:09.630380,109664,109660,109660.1,
2025-05-26T09:06:10.032609,109660.1,109660,109660.1,
2025-05-26T09:06:10.410173,109660,109660,109660.1,
2025-05-26T09:06:10.667163,109660,109660,109660.1,
2025-05-26T09:06:10.967319,109660,109660,109660.1,
2025-05-26T09:06:11.951423,109650,109650,109655.4,
2025-05-26T09:06:12.258803,109638,109628,109630.3,
2025-05-26T09:06:12.598679,109628,109628,109628.1,
2025-05-26T09:06:12.910533,109628,109628,109628.1,
2025-05-26T09:06:13.231747,109628,109628,109628.1,
2025-05-26T09:06:13.592634,109623.8,109623.7,109623.8,
2025-05-26T09:06:14.002565,109614.3,109614.3,109614.4,
2025-05-26T09:06:15.216288,109611.3,109611.3,109611.4,
2025-05-26T09:06:15.536584,109611.3,109611.3,109611.4,
2025-05-26T09:06:15.841039,109611.4,109611.3,109611.4,
2025-05-26T09:06:16.190284,109611.4,109611.3,109611.4,
2025-05-26T09:06:16.767653,109611.4,109611.3,109611.4,
2025-05-26T09:06:17.062444,109611.3,109611.3,109611.4,
2025-05-26T09:06:17.392505,109611.3,109611.3,109611.4,
2025-05-26T09:06:17.706280,109611.3,109611.3,109611.4,
2025-05-26T09:06:18.024772,109611.4,109611.3,109611.4,
2025-05-26T09:06:18.343575,109611.3,109611.3,109611.4,
2025-05-26T09:06:18.717104,109611.3,109611.3,109611.4,
2025-05-26T09:06:19.006775,109611.3,109611.3,109611.4,
2025-05-26T09:06:19.320156,109611.3,109611.3,109611.4,
2025-05-26T09:06:19.733422,109611.3,109611.3,109611.4,
2025-05-26T09:06:19.953553,109611.3,109611.3,109611.4,
2025-05-26T09:06:21.064481,109604.2,109604.2,109604.3,
2025-05-26T09:06:21.987112,109604.2,109604.2,109604.3,
2025-05-26T09:06:22.295141,109604.2,109604.2,109604.3,
2025-05-26T09:06:22.702456,109604.2,109604.2,109604.3,
2025-05-26T09:06:23.329232,109601,109601,109601.1,
2025-05-26T09:06:23.783305,109601.1,109601,109601.1,
2025-05-26T09:06:24.051887,109601.1,109601,109601.1,
2025-05-26T09:06:24.367264,109590.1,109590.1,109590.2,
2025-05-26T09:06:24.870343,109590.1,109587.1,109587.9,
2025-05-26T09:06:25.982660,109580.6,109580.5,109580.6,
2025-05-26T09:06:26.911029,109580.2,109580.2,109580.3,
2025-05-26T09:06:27.354970,109580.3,109580.2,109580.3,
2025-05-26T09:06:27.664329,109580.3,109580.2,109580.3,
2025-05-26T09:06:28.148278,109580.2,109580.2,109580.3,
2025-05-26T09:06:28.694074,109580.2,109580.2,109580.3,
2025-05-26T09:06:29.869649,109580.2,109580.2,109580.3,
2025-05-26T09:06:30.215473,109580.2,109580.2,109580.3,
2025-05-26T09:06:30.916748,109580.2,109580.2,109580.3,
2025-05-26T09:06:31.213771,109580.2,109580.2,109580.3,
2025-05-26T09:06:31.538269,109580.2,109580.2,109580.3,
2025-05-26T09:06:31.838689,109580.2,109580.2,109580.3,
2025-05-26T09:06:32.424461,109580.2,109580.2,109580.3,
2025-05-26T09:06:32.684892,109580.3,109580.2,109580.3,
2025-05-26T09:06:32.993882,109580.2,109580.2,109580.3,
2025-05-26T09:06:33.659368,109580.3,109580.2,109580.3,
2025-05-26T09:06:33.966610,109580.3,109580.2,109580.3,
2025-05-26T09:06:34.285176,109580.2,109580.2,109580.3,
2025-05-26T09:06:34.703918,109580.2,109580.2,109580.3,
2025-05-26T09:06:34.998942,109580.2,109580.2,109580.3,
2025-05-26T09:06:35.599264,109580.2,109580.2,109580.3,
2025-05-26T09:06:36.624302,109580.2,109580.2,109580.3,
2025-05-26T09:06:36.932418,109580.2,109580.2,109580.3,
2025-05-26T09:06:37.256890,109580.3,109580.2,109580.3,
2025-05-26T09:06:37.658877,109580.3,109580.2,109580.3,
2025-05-26T09:06:37.957728,109580.2,109580.2,109580.3,
2025-05-26T09:06:38.269060,109580.2,109580.2,109580.3,
2025-05-26T09:06:38.594728,109580.3,109580.2,109580.3,
2025-05-26T09:06:38.918034,109580.3,109580.2,109580.3,
2025-05-26T09:06:39.216986,109580.3,109580.2,109580.3,
2025-05-26T09:06:39.602129,109580.2,109580.2,109580.3,
2025-05-26T09:06:39.906649,109580.2,109580.2,109580.3,
2025-05-26T09:06:40.213963,109580.3,109580.2,109580.3,
2025-05-26T09:06:40.548905,109580.3,109580.2,109580.3,
2025-05-26T09:06:40.950604,109580.3,109580.2,109580.3,
2025-05-26T09:06:41.257014,109580.3,109580.2,109580.3,
2025-05-26T09:06:41.549598,109580.3,109580.2,109580.3,
2025-05-26T09:06:41.948913,109580.2,109580.2,109580.3,
2025-05-26T09:06:42.207076,109580.2,109580.2,109580.3,
2025-05-26T09:06:42.507052,109580.2,109580.2,109580.3,
2025-05-26T09:06:42.815786,109580.2,109580.2,109580.3,
2025-05-26T09:06:43.181781,109580.2,109580.2,109580.3,
2025-05-26T09:06:43.490598,109580.2,109580.2,109580.3,
2025-05-26T09:06:43.798900,109580.2,109580.2,109580.3,
2025-05-26T09:06:44.415199,109580.2,109580.2,109580.3,
2025-05-26T09:06:44.715115,109580.2,109580.2,109580.3,
2025-05-26T09:06:45.026577,109580.2,109580.2,109580.3,
2025-05-26T09:06:45.365838,109580.2,109580.2,109580.3,
2025-05-26T09:06:45.674712,109580.3,109580.2,109580.3,
2025-05-26T09:06:45.981007,109580.3,109580.2,109580.3,
2025-05-26T09:06:46.363835,109566.7,109566.7,109566.8,
2025-05-26T09:06:46.665377,109566.7,109566.7,109566.8,
2025-05-26T09:06:46.973007,109566.7,109566.7,109566.8,
2025-05-26T09:06:47.271821,109566.7,109566.7,109566.8,
2025-05-26T09:06:47.801037,109566.8,109566.7,109566.8,
2025-05-26T09:06:48.861005,109549.1,109549.1,109549.2,
2025-05-26T09:06:50.090654,109542.4,109536.5,109536.6,
2025-05-26T09:06:50.397205,109542.4,109533.6,109533.8,
2025-05-26T09:06:50.695687,109542.4,109531.5,109531.6,
2025-05-26T09:06:51.374549,109531.6,109531.5,109531.6,
2025-05-26T09:06:51.681423,109528.9,109528,109528.1,
