symbol,channel,type,timestamp_received,timestamp_start,open,high,low,close,volume_base,volume_quote,price_change,price_change_pct,price_range,price_range_pct,candle_type,timeframe
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.866988,2025-06-08 20:50:00,0.6747,0.6752,0.674,0.6748,15465.72,10435.3554676,9.999999999998899e-05,0.014821402104637466,0.0011999999999999789,0.17785682525566607,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867004,2025-06-08 20:55:00,0.6748,0.6755,0.674,0.6755,20454.431,13801.7443797,0.0007000000000000339,0.10373443983402993,0.0014999999999999458,0.22228808535861674,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867008,2025-06-08 21:00:00,0.6755,0.6782,0.6754,0.6781,49821.434,33712.5633691,0.0026000000000000467,0.3849000740192519,0.0028000000000000247,0.414507772020729,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867011,2025-06-08 21:05:00,0.6781,0.6787,0.6771,0.6785,48297.35,32761.0460109,0.00039999999999995595,0.05898834980090782,0.0015999999999999348,0.23595339920364763,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867013,2025-06-08 21:10:00,0.6785,0.6788,0.6768,0.6769,43920.105,29763.7920415,-0.0016000000000000458,-0.2358142962417164,0.0020000000000000018,0.29476787030213736,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867016,2025-06-08 21:15:00,0.6769,0.6775,0.6759,0.6768,73606.871,49789.3461098,-9.999999999998899e-05,-0.014773230905597429,0.0016000000000000458,0.23637169448959167,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867019,2025-06-08 21:20:00,0.6768,0.6773,0.6764,0.6772,51012.64,34529.2013886,0.00040000000000006697,0.059101654846345594,0.0009000000000000119,0.1329787234042571,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867024,2025-06-08 21:25:00,0.6772,0.678,0.677,0.6778,27366.671,18544.5592619,0.0005999999999999339,0.08860011813348109,0.0010000000000000009,0.1476668635558182,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867026,2025-06-08 21:30:00,0.6778,0.6779,0.677,0.6771,23122.179,15666.929227,-0.0006999999999999229,-0.10327530244908867,0.0008999999999999009,0.13278253172025686,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867029,2025-06-08 21:35:00,0.6771,0.6771,0.6748,0.6749,23247.132,15704.504502,-0.0021999999999999797,-0.32491507901343664,0.0023000000000000798,0.3396839462413351,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867032,2025-06-08 21:40:00,0.6749,0.6769,0.6749,0.6768,15446.841,10438.8021249,0.0018999999999999018,0.2815231886205218,0.0019999999999998908,0.2963401985479168,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867035,2025-06-08 21:45:00,0.6768,0.677,0.6764,0.6764,27072.446,18317.6524402,-0.00039999999999995595,-0.05910165484632919,0.0006000000000000449,0.0886524822695102,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867037,2025-06-08 21:50:00,0.6764,0.6776,0.6763,0.6775,31759.27,21493.5095077,0.0010999999999999899,0.16262566528681105,0.0012999999999999678,0.19219396806622824,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867040,2025-06-08 21:55:00,0.6775,0.6778,0.6754,0.6757,29629.736,20039.8181787,-0.0018000000000000238,-0.2656826568265718,0.0023999999999999577,0.3542435424354181,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867042,2025-06-08 22:00:00,0.6757,0.6761,0.6734,0.6734,38041.873,25655.5777468,-0.0022999999999999687,-0.3403877460411379,0.0027000000000000357,0.39958561491786826,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867045,2025-06-08 22:05:00,0.6734,0.6744,0.6719,0.6722,70188.675,47259.109777,-0.0011999999999999789,-0.17820017820017506,0.0024999999999999467,0.3712503712503633,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867047,2025-06-08 22:10:00,0.6722,0.6728,0.6711,0.6714,102944.534,69165.2565728,-0.0008000000000000229,-0.11901219875037532,0.0016999999999999238,0.252900922344529,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867051,2025-06-08 22:15:00,0.6714,0.6722,0.6713,0.6717,123053.695,82667.8107062,0.00029999999999996696,0.044682752457546465,0.0009000000000000119,0.13404825737265594,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867053,2025-06-08 22:20:00,0.6717,0.6723,0.6715,0.672,94261.264,63331.6758801,0.000300000000000078,0.04466279589103439,0.0008000000000000229,0.11910078904273083,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867056,2025-06-08 22:25:00,0.672,0.6721,0.6702,0.6708,108315.854,72640.5214785,-0.0012000000000000899,-0.17857142857144195,0.0019000000000000128,0.2827380952380971,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867058,2025-06-08 22:30:00,0.6708,0.671,0.6694,0.6708,39578.562,26534.8159109,0.0,0.0,0.0016000000000000458,0.23852116875373372,doji,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867061,2025-06-08 22:35:00,0.6708,0.671,0.669,0.6694,43096.581,28851.4846416,-0.0013999999999999568,-0.2087060226595046,0.0020000000000000018,0.2981514609421589,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867064,2025-06-08 22:40:00,0.6694,0.6708,0.6692,0.6707,125287.753,83943.8632044,0.0012999999999999678,0.19420376456527755,0.0015999999999999348,0.2390200179264916,bullish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867066,2025-06-08 22:45:00,0.6707,0.671,0.6691,0.6694,172777.518,115793.9949904,-0.0012999999999999678,-0.19382734456537468,0.0019000000000000128,0.2832861189801719,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867068,2025-06-08 22:50:00,0.6694,0.6695,0.6684,0.6692,115072.11,76970.3336462,-0.00019999999999997797,-0.029877502240809376,0.0010999999999999899,0.16432626232446818,bearish,5m
ADAUSDT,candle5m,SPOT,2025-06-10 21:25:18.867071,2025-06-08 22:55:00,0.6692,0.6697,0.6691,0.6695,90694.209,60718.8711952,0.00029999999999996696,0.044829647340102655,0.0005999999999999339,0.08965929468020531,bullish,5m
