symbol,lastPr,askPr,bidPr,bidSz,askSz,high24h,low24h,ts,change24h,baseVolume,quoteVolume,usdtVolume,openUtc,changeUtc24h,indexPrice,fundingRate,holdingAmount,deliveryStartTime,deliveryTime,deliveryStatus,open24h,markPrice,local_time
MANAUSDT,0.3363,0.3363,0.3361,646,3196,0.3364,0.3053,1747904951391,0.04963,10477339.0,3372127.3306,3372127.3306,0.3216,0.04571,0.3359821969521259,0.0001,57677742,,,,0.3204,0.33628,2025-05-22 09:09:11.391
GALAUSDT,0.02095,0.02096,0.02095,260,1736585,0.02099,0.01912,1747904951391,0.08493,243223493.0,4874898.31021,4874898.31021,0.01993,0.05118,0.0209352742737405,0.0001,1108535547,,,,0.01931,0.02095,2025-05-22 09:09:11.391
SANDUSDT,0.33563,0.33559,0.33556,30,1342,0.33599,0.30482,1747904951391,0.08773,10321417.0,3338155.43279,3338155.43279,0.31853,0.05368,0.3352299324879018,0.000219,85163284,,,,0.30856,0.33557,2025-05-22 09:09:11.391
DYDXUSDT,0.6941,0.6939,0.6932,7974,1528,0.697,0.6356,1747904951391,0.06752,3387659.0,2256928.3754,2256928.3754,0.6685,0.03829,0.6937136968002581,0.0001,13280371,,,,0.6502,0.6939,2025-05-22 09:09:11.391
CRVUSDT,0.8125,0.8131,0.8125,627,112,0.821,0.7121,1747904951391,0.09516,9303478.0,7095319.4284,7095319.4284,0.7434,0.09295,0.8127832719449397,0.0001,22275296,,,,0.7419,0.8128,2025-05-22 09:09:11.391
NEARUSDT,3.002,3.003,3.002,2834,2435,3.011,2.756,1747904951391,0.08102,4383555.0,12547907.875,12547907.875,2.866,0.04745,2.999753842418051,0.0001,26252120,,,,2.777,3.002,2025-05-22 09:09:11.391
EGLDUSDT,19.5,19.51,19.5,77,108.2,19.52,18.01,1747904951391,0.07616,90644.8,1700470.801,1700470.801,18.88,0.03284,19.4661789102175568,0.0001,337785.4,,,,18.12,19.5,2025-05-22 09:09:11.391
KSMUSDT,19.76,19.76,19.75,172.1,3.3,19.77,18.2,1747904951391,0.08571,20394.0,388529.74,388529.74,18.93,0.04385,19.7566178783112196,0.0001,185608.9,,,,18.2,19.76,2025-05-22 09:09:11.391
ARUSDT,8.05,8.045,8.043,36.7,117.2,8.05,7.115,1747904951391,0.12179,189667.3,1430953.8143,1430953.8143,7.546,0.06679,8.0494378133013244,0.0001,868453.9,,,,7.176,8.05,2025-05-22 09:09:11.391
PEOPLEUSDT,0.02741,0.0274,0.02739,71193,50000,0.02769,0.02457,1747904951391,0.11287,251188606.0,6584643.12227,6584643.12227,0.02608,0.051,0.0274265415344096,-9e-06,371850220,,,,0.02463,0.02741,2025-05-22 09:09:11.391
LRCUSDT,0.11553,0.1156,0.11551,1724,1859,0.116,0.1073,1747904951391,0.06186,8059466.0,892610.64936,892610.64936,0.11108,0.04006,0.115505936660609,0.0001,19821872,,,,0.1088,0.11552,2025-05-22 09:09:11.391
NEOUSDT,6.935,6.937,6.933,10.43,135.62,6.939,6.378,1747904951391,0.07121,274986.45,1828421.57594,1828421.57594,6.676,0.03895,6.9309828212585681,0.0001,1095118.47,,,,6.474,6.934,2025-05-22 09:09:11.391
ALICEUSDT,0.5248,0.5246,0.524,251.5,4551.6,0.5258,0.477,1747904951391,0.07873,2148439.0,1071751.5537,1071751.5537,0.5004,0.04876,0.5244173601434753,0.0001,1694937,,,,0.4865,0.5246,2025-05-22 09:09:11.391
WAVESUSDT,1.335,1.336,1.335,47.5,1283.4,1.346,1.291,1747904951391,0.02064,215140.9,283679.6158,283679.6158,1.322,0.00983,1.3325479422620893,0.0001,1565766.3,,,,1.308,1.335,2025-05-22 09:09:11.391
ALGOUSDT,0.2399,0.2398,0.2397,128.4,17601.8,0.2408,0.2223,1747904951391,0.06907,7010417.0,1616038.94933,1616038.94933,0.2308,0.03943,0.2393126366600202,0.00034,123271934.1,,,,0.2244,0.2397,2025-05-22 09:09:11.391
IOTAUSDT,0.2372,0.2371,0.237,8812.9,2495.3,0.238,0.2186,1747904951391,0.07574,7314746.3,1660264.1981,1660264.1981,0.2266,0.04678,0.2368502135414509,0.0001,54670431.5,,,,0.2205,0.237,2025-05-22 09:09:11.391
ENJUSDT,0.09402,0.094,0.09392,1373.7,1969.2,0.09413,0.08589,1747904951391,0.0755,6414380.2,579045.291193,579045.291193,0.08998,0.0449,0.0939757243012087,0.0001,27307131.3,,,,0.08742,0.09402,2025-05-22 09:09:11.391
GMTUSDT,0.06188,0.06188,0.06187,2963,2847,0.06219,0.05756,1747904951391,0.05959,24044475.0,1441150.43316,1441150.43316,0.05984,0.03409,0.0618900174596162,0.0001,108160934,,,,0.0584,0.06189,2025-05-22 09:09:11.391
ZILUSDT,0.01359,0.01361,0.0136,25913,25865,0.01362,0.01259,1747904951391,0.06756,11734205.0,154121.91937,154121.91937,0.0132,0.02955,0.013594528425941,0.0001,114180089,,,,0.01273,0.0136,2025-05-22 09:09:11.391
IOSTUSDT,0.004107,0.004108,0.004106,29511,123428,0.004109,0.003869,1747904951391,0.05119,56284514.0,224550.567665,224550.567665,0.004019,0.0219,0.0041078605329834,0.0001,112269351,,,,0.003907,0.004109,2025-05-22 09:09:11.391
APEUSDT,0.706,0.7059,0.7055,123.3,3280.5,0.7062,0.6505,1747904951391,0.06261,21454676.6,14539827.27202,14539827.27202,0.6812,0.03641,0.7053175885111497,0.0001,83614250.2,,,,0.6644,0.706,2025-05-22 09:09:11.391
RUNEUSDT,2.116,2.118,2.117,326,1200,2.118,1.818,1747904951391,0.15882,1704322.7,3315006.1359,3315006.1359,1.961,0.07904,2.1154528048802169,0.0001,5589865.9,,,,1.826,2.116,2025-05-22 09:09:11.391
KNCUSDT,0.3887,0.3885,0.3879,121.1,321.1,0.3887,0.3601,1747904951391,0.05999,935072.3,349300.45899,349300.45899,0.3745,0.03792,0.3887595779871155,0.0001,1594220.2,,,,0.3667,0.3887,2025-05-22 09:09:11.391
APTUSDT,5.4721,5.467,5.4668,114.9,661.8,5.4772,5.1102,1747904951391,0.06702,730502.752,3858781.9204654,3858781.9204654,5.2742,0.03752,5.4685033450779624,0.0001,4926937.983,,,,5.1284,5.4669,2025-05-22 09:09:11.391
CHZUSDT,0.04698,0.04697,0.04694,2098,44083,0.04711,0.0435,1747904951391,0.07089,15418753.0,698565.45533,698565.45533,0.04518,0.03984,0.0470255727189075,0.0001,113285672,,,,0.04387,0.04698,2025-05-22 09:09:11.391
ROSEUSDT,0.03516,0.03516,0.03513,3768,542,0.03521,0.0322,1747904951391,0.05904,28357393.0,955956.08782,955956.08782,0.03331,0.05494,0.0351221787604798,0.0001,111038515,,,,0.0332,0.03515,2025-05-22 09:09:11.391
ZRXUSDT,0.29,0.2902,0.29,595,219,0.2911,0.2704,1747904951391,0.06578,737081.0,206003.506,206003.506,0.2791,0.03905,0.2903808655227739,0.0001,3066248,,,,0.2721,0.2902,2025-05-22 09:09:11.391
